(60, 6, 11, 24, 12),
(100, 6, 11, 30, 15),
(60, 6, 11, 20, 10),
(80, 6, 11, 21, 11),
(100, 6, 11, 19, 15),
(80, 6, 11, 42, 21),
(60, 8, 11, 27, 14),
(60, 8, 11, 28, 14),
(80, 8, 11, 44, 22),
(100, 8, 11, 45, 23),
(80, 8, 11, 51, 26),
(60, 10, 11, 40, 20),
(100, 8, 11, 55, 28),
(60, 10, 11, 40, 20),
(80, 10, 11, 55, 28),
(100, 10, 11, 68, 34),
(80, 10, 11, 33, 17),
(100, 10, 11, 66, 33),
(60, 6, 11, 17, 9),
(60, 6, 11, 30, 15),
(100, 6, 11, 31, 16),
(100, 6, 11, 29, 16),
(80, 6, 11, 25, 13),
(80, 6, 11, 15, 9),
(60, 8, 11, 24, 12),
(60, 8, 11, 37, 19),
(60, 10, 11, 21, 11),
(100, 8, 11, 47, 24),
(100, 8, 11, 42, 21),
(80, 8, 11, 40, 20),
(80, 8, 11, 37, 19),
(60, 10, 11, 43, 22),
(80, 10, 11, 44, 22),
(60, 6, 11, 26, 13),
(100, 6, 11, 36, 18),
(60, 6, 11, 15, 9),
(100, 6, 11, 26, 13),
(80, 10, 11, 36, 18),
(100, 10, 11, 57, 29),
(100, 10, 11, 72, 36),
(80, 6, 11, 25, 13),
(80, 6, 11, 33, 17),
(60, 8, 11, 35, 18),
(100, 8, 11, 18, 9),
(60, 8, 11, 27, 14),
(60, 10, 11, 38, 19),
(100, 8, 11, 59, 30),
(80, 8, 11, 49, 25),
(60, 6, 11, 30, 15),
(80, 8, 11, 28, 14),
(100, 6, 11, 22, 11),
(60, 6, 11, 18, 9),
(60, 10, 11, 48, 24),
(100, 6, 11, 24, 12),
(80, 6, 11, 23, 12),
(80, 6, 11, 17, 9),
(80, 10, 11, 65, 33),
(60, 8, 11, 34, 17),
(100, 8, 11, 58, 29),
(60, 8, 11, 23, 12),
(60, 10, 11, 49, 25),
(80, 10, 11, 48, 24),
(100, 10, 11, 67, 34),
(60, 6, 11, 36, 18),
(100, 10, 11, 44, 22),
(100, 6, 11, 17, 9),
(60, 6, 11, 20, 15),
(80, 8, 11, 26, 13),
(100, 8, 11, 51, 26),
(80, 8, 11, 32, 16),
(100, 6, 11, 22, 12),
(80, 6, 11, 25, 13),
(60, 8, 11, 23, 12),
(80, 6, 11, 25, 13),
(60, 10, 11, 39, 20),
(100, 8, 11, 56, 28),
(60, 10, 11, 36, 18),
(60, 6, 11, 20, 10),
(60, 8, 11, 34, 17),
(80, 10, 11, 50, 25),
(100, 6, 11, 16, 8),
(60, 6, 11, 19, 10),
(80, 8, 11, 45, 23),
(100, 10, 11, 63, 32),
(80, 10, 11, 53, 27),
(60, 8, 11, 44, 22),
(100, 8, 11, 50, 25),
(80, 6, 11, 31, 16),
(100, 10, 11, 66, 33),
(80, 8, 11, 39, 20),
(80, 6, 11, 24, 12),
(60, 6, 11, 19, 10),
(100, 8, 11, 49, 25),
(100, 6, 11, 28, 14),
(60, 10, 11, 35, 18),
(60, 10, 11, 30, 15),
(60, 8, 11, 38, 19),
(60, 6, 11, 18, 9),
(100, 6, 12, 35, 18),
(80, 8, 11, 40, 20),
(60, 8, 11, 36, 18),
(80, 10, 11, 33, 17),
(80, 6, 11, 26, 13),
(80, 10, 11, 34, 17),
(80, 6, 11, 37, 19),
(60, 6, 11, 20, 10),
(80, 8, 11, 35, 18),
(100, 8, 11, 48, 24),
(100, 6, 11, 24, 12),
(100, 8, 11, 58, 29),
(100, 10, 11, 63, 32),
(60, 10, 11, 34, 17),
(60, 8, 11, 39, 20),
(100, 10, 11, 64, 32),
(60, 6, 11, 24, 12),
(60, 10, 11, 41, 21),
(100, 6, 11, 31, 16),
(80, 6, 11, 34, 17),
(60, 8, 11, 36, 18),
(80, 8, 11, 29, 15),
(60, 6, 11, 22, 11),
(80, 6, 11, 23, 12),
(80, 8, 11, 54, 27),
(80, 10, 11, 42, 21),
(80, 10, 11, 52, 26),
(100, 6, 11, 19, 11),
(100, 8, 11, 49, 25),
(60, 6, 11, 23, 12),
(60, 10, 11, 45, 23),
(100, 6, 11, 21, 12),
(60, 8, 11, 39, 20),
(60, 8, 11, 43, 22),
(60, 6, 11, 20, 10),
(80, 6, 11, 21, 11),
(100, 10, 11, 64, 32),
(100, 8, 12, 39, 20),
(100, 10, 11, 54, 27),
(80, 6, 11, 19, 15),
(60, 10, 11, 34, 17),
(80, 8, 11, 29, 15),
(100, 6, 11, 25, 13),
(80, 8, 11, 44, 22),
(80, 10, 11, 57, 29),
(100, 8, 11, 36, 18),
(80, 10, 11, 60, 30),
(60, 6, 11, 23, 12),
(60, 6, 11, 13, 8),
(60, 10, 11, 46, 23),
(100, 6, 11, 24, 12),
(60, 8, 11, 17, 10),
(80, 6, 11, 18, 11),
(60, 8, 11, 21, 11),
(80, 6, 11, 21, 11),
(100, 8, 11, 60, 30),
(100, 6, 11, 17, 12),
(80, 8, 11, 36, 18),
(100, 10, 11, 58, 29),
(100, 10, 11, 69, 35),
(80, 8, 11, 31, 16),
(60, 10, 11, 50, 25),
(60, 6, 11, 16, 9),
(60, 6, 11, 29, 15),
(60, 8, 11, 22, 11),
(100, 8, 11, 57, 29),
(60, 10, 11, 33, 17),
(100, 6, 11, 29, 16),
(80, 6, 11, 17, 11),
(80, 10, 11, 60, 30),
(80, 10, 11, 52, 26),
(60, 8, 11, 40, 20),
(100, 8, 11, 42, 21),
(80, 6, 11, 21, 14),
(100, 6, 11, 23, 15),
(80, 8, 11, 39, 20),
(60, 6, 11, 17, 9),
(80, 8, 11, 32, 16),
(60, 6, 11, 13, 7),
(60, 8, 11, 32, 16),
(100, 10, 11, 36, 18),
(100, 6, 11, 45, 23),
(60, 10, 11, 26, 13),
(60, 10, 11, 42, 21),
(100, 10, 11, 74, 37),
(100, 8, 11, 71, 36),
(80, 6, 11, 32, 16),
(80, 6, 11, 14, 8),
(60, 8, 11, 41, 21),
(100, 8, 11, 35, 18),
(100, 6, 11, 18, 9),
(80, 10, 11, 52, 26),
(80, 10, 11, 53, 27),
(60, 6, 11, 24, 12),
(80, 8, 11, 29, 15),
(60, 6, 11, 22, 11),
(60, 8, 11, 33, 17),
(100, 6, 11, 34, 17),
(80, 8, 11, 53, 27),
(80, 6, 11, 38, 19),
(100, 6, 11, 23, 12),
(60, 10, 11, 38, 19),
(80, 6, 11, 24, 12),
(60, 10, 11, 43, 22),
(100, 8, 11, 49, 25),
(100, 10, 11, 76, 38),
(100, 8, 11, 37, 19),
(60, 8, 11, 38, 19),
(100, 10, 11, 41, 21),
(60, 6, 11, 18, 9),
(60, 6, 11, 31, 16),
(80, 10, 11, 47, 24),
(60, 8, 11, 40, 20),
(80, 8, 11, 56, 28),
(80, 10, 11, 53, 27),
(100, 6, 11, 29, 15),
(100, 6, 11, 24, 13),
(80, 6, 11, 20, 12),
(80, 8, 11, 44, 22),
(80, 6, 11, 29, 15),
(100, 8, 11, 31, 16),
(60, 10, 11, 37, 19),
(100, 8, 11, 39, 20),
(60, 6, 11, 24, 12),
(60, 10, 11, 23, 12),
(60, 8, 11, 14, 8),
(60, 6, 11, 23, 12),
(100, 10, 11, 82, 41),
(60, 8, 11, 36, 18),
(100, 10, 11, 68, 34),
(80, 6, 11, 20, 10),
(80, 8, 11, 23, 15),
(100, 6, 11, 23, 13),
(100, 6, 11, 27, 14),
(80, 10, 11, 50, 25),
(80, 6, 11, 24, 12),
(60, 6, 11, 20, 10),
(80, 8, 11, 47, 24),
(100, 8, 11, 63, 32),
(60, 10, 11, 45, 23),
(80, 10, 11, 41, 21),
(100, 8, 11, 65, 33),
(60, 8, 11, 38, 19),
(60, 6, 11, 15, 12),
(60, 10, 11, 41, 21),
(60, 8, 11, 36, 18),
(80, 6, 11, 14, 11),
(100, 6, 11, 34, 17),
(80, 8, 11, 37, 19),
(100, 6, 11, 22, 14),
(60, 6, 11, 24, 12),
(80, 6, 11, 18, 9),
(100, 10, 11, 58, 29),
(100, 8, 11, 43, 22),
(60, 10, 11, 32, 16),
(100, 10, 11, 46, 23),
(80, 8, 11, 55, 28),
(80, 10, 11, 60, 30),
(60, 6, 11, 19, 11),
(60, 8, 11, 30, 15),
(100, 8, 11, 42, 21),
(60, 8, 11, 32, 16),
(100, 6, 11, 22, 13),
(80, 10, 11, 38, 19),
(60, 10, 11, 41, 21),
(80, 6, 11, 20, 10),
(60, 6, 11, 27, 14),
(100, 6, 11, 21, 15),
(80, 6, 11, 19, 10),
(80, 8, 11, 60, 30),
(100, 8, 11, 55, 28),
(60, 10, 11, 47, 24),
(60, 6, 11, 18, 10),
(80, 8, 11, 57, 29),
(80, 10, 11, 49, 25),
(100, 10, 11, 74, 37),
(100, 6, 11, 28, 14),
(60, 8, 11, 22, 14),
(60, 8, 11, 27, 14),
(100, 10, 11, 64, 32),
(100, 8, 11, 64, 32),
(60, 6, 11, 21, 11),
(60, 10, 11, 46, 23),
(80, 6, 11, 27, 14),
(80, 6, 12, 21, 11),
(100, 6, 11, 43, 22),
(80, 10, 11, 37, 19),
(80, 8, 11, 28, 14),
(60, 6, 11, 13, 7),
(60, 10, 11, 20, 10),
(100, 8, 11, 64, 32),
(100, 6, 11, 32, 16),
(60, 8, 11, 35, 18),
(60, 8, 11, 22, 11),
(80, 8, 11, 17, 9),
(60, 6, 11, 14, 8),
(80, 10, 11, 25, 13),
(100, 8, 11, 60, 30),
(80, 6, 11, 27, 14),
(100, 10, 11, 68, 34),
(80, 6, 11, 24, 13),
(60, 10, 11, 21, 11),
(100, 10, 11, 41, 21),
(100, 6, 11, 35, 18),
(60, 6, 11, 24, 12),
(100, 8, 11, 36, 18),
(60, 10, 11, 44, 22),
(80, 8, 11, 44, 22),
(100, 6, 11, 22, 11),
(60, 8, 11, 28, 14),
(60, 6, 11, 21, 11),
(80, 10, 11, 38, 19),
(60, 8, 11, 28, 14),
(80, 8, 11, 36, 18),
(80, 10, 11, 49, 25),
(100, 8, 11, 51, 26),
(100, 6, 11, 19, 10),
(80, 6, 11, 26, 14),
(80, 6, 11, 27, 14),
(60, 6, 11, 15, 8),
(60, 10, 11, 33, 17),
(100, 8, 11, 41, 21),
(100, 6, 11, 20, 10),
(100, 10, 11, 52, 26),
(60, 10, 11, 35, 18),
(60, 8, 11, 43, 22),
(60, 6, 11, 33, 17),
(80, 8, 11, 29, 15),
(100, 10, 11, 77, 39),
(60, 8, 11, 38, 19),
(80, 8, 11, 30, 15),
(80, 10, 11, 45, 23),
(80, 6, 11, 14, 9),
(80, 6, 11, 19, 14),
(100, 6, 11, 26, 14),
(60, 6, 11, 28, 14),
(100, 8, 11, 28, 14),
(80, 10, 11, 38, 19),
(100, 8, 11, 45, 23),
(60, 6, 11, 26, 13),
(60, 8, 11, 39, 20),
(60, 10, 11, 47, 24),
(60, 10, 11, 48, 24),
(80, 8, 11, 42, 21),
(100, 6, 12, 21, 14),
(60, 8, 11, 33, 17),
(100, 10, 11, 63, 32),
(80, 8, 11, 39, 20),
(100, 10, 11, 66, 33),
(80, 6, 11, 20, 12),
(100, 6, 11, 33, 17),
(60, 6, 11, 16, 11),
(80, 6, 11, 26, 13),
(80, 10, 11, 55, 28),
(60, 6, 11, 21, 11),
(100, 8, 11, 56, 28),
(60, 8, 11, 42, 21),
(100, 8, 11, 55, 28),
(60, 10, 11, 41, 21),
(100, 6, 11, 38, 19),
(80, 8, 11, 22, 11),
(80, 10, 11, 60, 30),
(60, 10, 11, 35, 18),
(60, 6, 11, 25, 13),
(60, 8, 11, 33, 17),
(100, 6, 11, 44, 22),
(80, 6, 11, 28, 14),
(80, 8, 11, 54, 27),
(80, 6, 11, 35, 18),
(60, 6, 11, 24, 13),
(100, 10, 11, 46, 23),
(100, 8, 11, 57, 29),
(60, 8, 11, 33, 17),
(100, 6, 11, 18, 11),
(100, 10, 11, 69, 35),
(80, 10, 11, 58, 29),
(100, 8, 11, 66, 33),
(60, 10, 11, 44, 22),
(80, 6, 11, 24, 12),
(100, 6, 11, 25, 14),
(80, 8, 11, 48, 24),
(60, 6, 11, 26, 13),
(60, 10, 11, 35, 18),
(60, 6, 11, 28, 14),
(60, 8, 11, 13, 7),
(80, 8, 11, 27, 15),
(80, 10, 11, 41, 21),
(60, 8, 11, 40, 20),
(100, 8, 11, 25, 13),
(100, 6, 11, 23, 13),
(60, 10, 11, 34, 17),
(80, 6, 12, 16, 9),
(100, 8, 11, 45, 23),
(100, 10, 11, 46, 23),
(80, 10, 11, 55, 28),
(80, 6, 11, 16, 8),
(60, 6, 11, 16, 11),
(100, 6, 11, 22, 11),
(60, 6, 11, 14, 7),
(100, 10, 11, 71, 36),
(80, 8, 11, 53, 27),
(60, 10, 11, 29, 15),
(60, 8, 11, 34, 17),
(60, 8, 11, 34, 17),
(80, 8, 11, 37, 19),
(100, 6, 11, 25, 13),
(100, 8, 11, 56, 28),
(80, 10, 11, 61, 31),
(80, 6, 11, 18, 10),
(60, 6, 11, 22, 11),
(80, 6, 11, 21, 11),
(100, 6, 11, 26, 13),
(60, 10, 11, 37, 19),
(60, 6, 11, 39, 20),
(100, 8, 11, 31, 18),
(60, 8, 11, 30, 15),
(80, 10, 11, 54, 27),
(80, 8, 11, 48, 24),
(100, 6, 11, 18, 10),
(60, 8, 11, 25, 13),
(100, 10, 11, 55, 28),
(100, 8, 11, 64, 32),
(80, 8, 11, 41, 21),
(60, 10, 11, 47, 24),
(100, 10, 11, 65, 33),
(80, 10, 11, 43, 22),
(80, 6, 11, 35, 18),
(80, 6, 11, 20, 15),
(100, 6, 11, 19, 10),
(60, 6, 11, 21, 11),
(60, 6, 11, 23, 12),
(60, 10, 11, 42, 21),
(100, 8, 11, 42, 21),
(60, 8, 11, 23, 12),
(100, 6, 11, 23, 12),
(80, 8, 11, 44, 22),
(80, 8, 11, 41, 21),
(100, 8, 11, 54, 27),
(60, 8, 11, 34, 17),
(60, 6, 11, 32, 16),
(100, 6, 11, 23, 12),
(80, 10, 11, 53, 27),
(60, 10, 11, 35, 18),
(100, 10, 11, 59, 30),
(80, 6, 11, 26, 13),
(80, 6, 11, 28, 14),
(60, 6, 11, 19, 10),
(100, 10, 11, 52, 26),
(80, 10, 11, 71, 36),
(60, 10, 11, 37, 19),
(100, 6, 11, 17, 9),
(60, 8, 11, 21, 11),
