(60, 5, 10, 15, 8),
(80, 5, 10, 14, 9),
(70, 5, 11, 12, 9),
(100, 5, 10, 10, 9),
(90, 6, 10, 20, 12),
(40, 5, 11, 18, 9),
(30, 8, 10, 12, 6),
(50, 7, 10, 29, 15),
(40, 6, 10, 23, 12),
(100, 6, 11, 16, 8),
(50, 6, 10, 20, 10),
(40, 6, 10, 23, 12),
(80, 6, 10, 27, 14),
(60, 6, 10, 21, 11),
(40, 7, 10, 29, 15),
(80, 6, 10, 49, 25),
(50, 7, 10, 14, 8),
(50, 5, 11, 12, 8),
(80, 5, 11, 11, 8),
(40, 7, 10, 27, 14),
(100, 6, 10, 19, 14),
(60, 7, 10, 37, 19),
(60, 6, 11, 19, 10),
(90, 5, 11, 13, 8),
(70, 6, 11, 28, 14),
(60, 8, 10, 20, 10),
(70, 5, 11, 13, 8),
(30, 7, 11, 11, 6),
(70, 7, 10, 32, 16),
(30, 9, 10, 25, 13),
(80, 7, 10, 35, 18),
(70, 6, 11, 34, 17),
(40, 8, 10, 18, 9),
(60, 7, 11, 34, 17),
(40, 8, 10, 30, 15),
(30, 9, 10, 18, 9),
(80, 7, 10, 33, 17),
(30, 8, 11, 22, 11),
(90, 7, 10, 49, 25),
(50, 8, 10, 28, 14),
(90, 7, 10, 45, 23),
(50, 8, 11, 20, 10),
(30, 5, 10, 19, 10),
(30, 10, 10, 16, 8),
(70, 7, 10, 46, 23),
(100, 5, 11, 11, 8),
(100, 8, 10, 28, 17),
(60, 8, 10, 20, 10),
(100, 7, 11, 42, 21),
(50, 6, 11, 18, 9),
(100, 8, 10, 50, 25),
(100, 7, 11, 30, 15),
(40, 9, 11, 15, 8),
(70, 8, 11, 42, 21),
(50, 10, 10, 34, 17),
(80, 8, 10, 32, 16),
(30, 10, 10, 21, 11),
(60, 9, 10, 40, 20),
(40, 5, 11, 18, 9),
(50, 9, 10, 35, 18),
(90, 5, 11, 11, 8),
(70, 9, 11, 35, 18),
(50, 9, 10, 30, 15),
(40, 10, 11, 18, 9),
(90, 8, 10, 46, 23),
(70, 9, 10, 34, 17),
(60, 9, 10, 43, 22),
(40, 10, 10, 26, 13),
(60, 5, 11, 11, 8),
(60, 5, 10, 12, 8),
(80, 9, 11, 53, 27),
(70, 8, 11, 29, 15),
(100, 5, 10, 11, 9),
(90, 6, 11, 24, 12),
(60, 10, 11, 43, 22),
(40, 9, 11, 28, 14),
(100, 6, 10, 24, 14),
(80, 5, 11, 11, 9),
(50, 10, 10, 32, 16),
(50, 6, 10, 24, 12),
(40, 6, 10, 18, 9),
(90, 6, 10, 34, 17),
(60, 6, 10, 27, 14),
